iin	V(vt)
1.348962882591631e-004	6.032499e-001
1.380384264602862e-004	6.038462e-001
1.412537544622731e-004	6.044425e-001
1.445439770745904e-004	6.050388e-001
1.479108388168183e-004	6.056352e-001
1.513561248436183e-004	6.062315e-001
1.548816618912456e-004	6.068279e-001
1.584893192461087e-004	6.074243e-001
1.621810097358903e-004	6.080207e-001
1.659586907437533e-004	6.086171e-001
1.698243652461716e-004	6.092136e-001
1.737800828749347e-004	6.098101e-001
1.778279410038893e-004	6.104066e-001
1.819700858609953e-004	6.110031e-001
1.862087136662836e-004	6.115996e-001
1.905460717963215e-004	6.121962e-001
1.949844599758013e-004	6.127928e-001
1.995262314968846e-004	6.133894e-001
2.041737944669495e-004	6.139860e-001
2.089296130854004e-004	6.145827e-001
2.137962089502196e-004	6.151794e-001
2.187761623949516e-004	6.157761e-001
2.238721138568302e-004	6.163728e-001
2.290867652767734e-004	6.169696e-001
2.344228815319882e-004	6.175663e-001
2.398832919019450e-004	6.181632e-001
2.454708915684988e-004	6.187600e-001
2.511886431509537e-004	6.193569e-001
2.570395782768820e-004	6.199539e-001
2.630267991895337e-004	6.205508e-001
2.691534803926870e-004	6.211478e-001
2.754228703338119e-004	6.217448e-001
2.818382931264405e-004	6.223418e-001
2.884031503126556e-004	6.229389e-001
2.951209226666335e-004	6.235360e-001
3.019951720401964e-004	6.241332e-001
3.090295432513537e-004	6.247303e-001
3.162277660168324e-004	6.253276e-001
3.235936569296226e-004	6.259248e-001
3.311311214825853e-004	6.265221e-001
3.388441561391966e-004	6.271195e-001
3.467368504525255e-004	6.277168e-001
3.548133892335692e-004	6.283143e-001
3.630780547700950e-004	6.289117e-001
3.715352290971660e-004	6.295093e-001
3.801893963205545e-004	6.301068e-001
3.890451449942737e-004	6.307044e-001
3.981071705534902e-004	6.313021e-001
4.073802778041055e-004	6.318998e-001
4.168693834703280e-004	6.324975e-001
4.265795188015850e-004	6.330953e-001
4.365158322401581e-004	6.336932e-001
4.466835921509551e-004	6.342911e-001
4.570881896148668e-004	6.348891e-001
4.677351412871898e-004	6.354871e-001
4.786300923226297e-004	6.360852e-001
4.897788193684373e-004	6.366833e-001
5.011872336272632e-004	6.372815e-001
5.128613839913555e-004	6.378797e-001
5.248074602497631e-004	6.384780e-001
5.370317963702430e-004	6.390765e-001
5.495408738576146e-004	6.396749e-001
5.623413251903389e-004	6.402734e-001
5.754399373371465e-004	6.408720e-001
5.888436553555782e-004	6.414707e-001
6.025595860743467e-004	6.420694e-001
6.165950018614709e-004	6.426682e-001
6.309573444801817e-004	6.432671e-001
6.456542290346436e-004	6.438660e-001
6.606934480075838e-004	6.444650e-001
6.760829753919693e-004	6.450642e-001
6.918309709189237e-004	6.456634e-001
7.079457843841248e-004	6.462626e-001
7.244359600749766e-004	6.468620e-001
7.413102413009038e-004	6.474615e-001
7.585775750291697e-004	6.480610e-001
7.762471166286773e-004	6.486607e-001
7.943282347242667e-004	6.492604e-001
8.128305161640841e-004	6.498603e-001
8.317637711026555e-004	6.504602e-001
8.511380382023605e-004	6.510602e-001
8.709635899560644e-004	6.516603e-001
8.912509381337288e-004	6.522606e-001
9.120108393558926e-004	6.528609e-001
9.332543007969735e-004	6.534614e-001
9.549925860214179e-004	6.540620e-001
9.772372209557922e-004	6.546627e-001
9.999999999999812e-004	6.552635e-001
1.023292992280735e-003	6.558644e-001
1.047128548050880e-003	6.564655e-001
1.071519305237586e-003	6.570667e-001
1.096478196143164e-003	6.576681e-001
1.122018454301942e-003	6.582695e-001
1.148153621496861e-003	6.588711e-001
1.174897554939507e-003	6.594728e-001
1.202264434617390e-003	6.600747e-001
1.230268770812358e-003	6.606767e-001
1.258925411794143e-003	6.612789e-001
1.288249551693109e-003	6.618813e-001
1.318256738556382e-003	6.624838e-001
1.348962882591628e-003	6.630864e-001
1.380384264602858e-003	6.636892e-001
1.412537544622727e-003	6.642922e-001
1.445439770745900e-003	6.648954e-001
1.479108388168179e-003	6.654987e-001
1.513561248436179e-003	6.661022e-001
1.548816618912451e-003	6.667059e-001
1.584893192461083e-003	6.673098e-001
1.621810097358899e-003	6.679139e-001
1.659586907437528e-003	6.685182e-001
1.698243652461711e-003	6.691227e-001
1.737800828749342e-003	6.697274e-001
1.778279410038888e-003	6.703323e-001
1.819700858609948e-003	6.709374e-001
1.862087136662831e-003	6.715428e-001
1.905460717963210e-003	6.721483e-001
1.949844599758007e-003	6.727542e-001
1.995262314968840e-003	6.733602e-001
2.041737944669489e-003	6.739665e-001
2.089296130853998e-003	6.745731e-001
2.137962089502190e-003	6.751799e-001
2.187761623949509e-003	6.757870e-001
2.238721138568295e-003	6.763943e-001
2.290867652767728e-003	6.770019e-001
2.344228815319876e-003	6.776098e-001
2.398832919019443e-003	6.782179e-001
2.454708915684982e-003	6.788265e-001
2.511886431509530e-003	6.794353e-001
2.570395782768813e-003	6.800443e-001
2.630267991895330e-003	6.806537e-001
2.691534803926862e-003	6.812634e-001
2.754228703338112e-003	6.818735e-001
2.818382931264398e-003	6.824839e-001
2.884031503126549e-003	6.830946e-001
2.951209226666327e-003	6.837057e-001
3.019951720401956e-003	6.843172e-001
3.090295432513529e-003	6.849290e-001
3.162277660168316e-003	6.855412e-001
3.235936569296218e-003	6.861538e-001
3.311311214825845e-003	6.867668e-001
3.388441561391958e-003	6.873802e-001
3.467368504525247e-003	6.879940e-001
3.548133892335683e-003	6.886082e-001
3.630780547700940e-003	6.892229e-001
3.715352290971650e-003	6.898381e-001
3.801893963205535e-003	6.904536e-001
3.890451449942727e-003	6.910697e-001
3.981071705534892e-003	6.916862e-001
4.073802778041044e-003	6.923032e-001
4.168693834703269e-003	6.929207e-001
4.265795188015840e-003	6.935388e-001
4.365158322401571e-003	6.941574e-001
4.466835921509540e-003	6.947764e-001
4.570881896148657e-003	6.953961e-001
4.677351412871886e-003	6.960163e-001
4.786300923226285e-003	6.966371e-001
4.897788193684361e-003	6.972584e-001
5.011872336272620e-003	6.978804e-001
5.128613839913543e-003	6.985030e-001
5.248074602497618e-003	6.991262e-001
5.370317963702417e-003	6.997501e-001
5.495408738576132e-003	7.003747e-001
5.623413251903375e-003	7.009999e-001
5.754399373371450e-003	7.016258e-001
5.888436553555768e-003	7.022524e-001
6.025595860743452e-003	7.028797e-001
6.165950018614693e-003	7.035078e-001
6.309573444801801e-003	7.041367e-001
6.456542290346421e-003	7.047663e-001
6.606934480075822e-003	7.053967e-001
6.760829753919676e-003	7.060279e-001
6.918309709189220e-003	7.066600e-001
7.079457843841230e-003	7.072930e-001
7.244359600749748e-003	7.079268e-001
7.413102413009019e-003	7.085615e-001
7.585775750291677e-003	7.091971e-001
7.762471166286753e-003	7.098336e-001
7.943282347242646e-003	7.104712e-001
8.128305161640819e-003	7.111096e-001
8.317637711026532e-003	7.117491e-001
8.511380382023582e-003	7.123897e-001
8.709635899560619e-003	7.130313e-001
8.912509381337263e-003	7.136739e-001
9.120108393558901e-003	7.143177e-001
9.332543007969709e-003	7.149627e-001
9.549925860214152e-003	7.156087e-001
9.772372209557895e-003	7.162560e-001
1.000000000000000e-002	7.169044e-001
